  1  1 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.058005 -0.072516 -0.031241 -0.028418 -0.024956 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.017032 -0.014209
  1  2 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.049762 -0.059928 -0.025039 -0.023463 -0.021334 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.013307 -0.011731
  1  3 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.041527 -0.048247 -0.019579 -0.018919 -0.017796 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.010119 -0.009460
  1  4 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.033307 -0.037385 -0.014758 -0.014745 -0.014354 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.007385 -0.007373
  1  5 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.025110 -0.027265 -0.010490 -0.010903 -0.011018 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.005038 -0.005452
  1  6 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.016943 -0.017819 -0.006701 -0.007360 -0.007795 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.003021 -0.003680
  1  7 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.008815 -0.008989 -0.003329 -0.004088 -0.004687 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN> -0.001285 -0.002044
  1  8 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3= -0.000731 -0.000723 -0.000321 -0.001060 -0.001697 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.000209 -0.000530
  1  9 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.007302  0.007026  0.002367  0.001746  0.001177 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.001494  0.000873
  1 10 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.015275  0.014298  0.004775  0.004350  0.003935 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.002600  0.002175
  1 11 gradient_vmc, gradient_vmc_eval_in_dmc, gradient_FN1, gradient_FN1_1+2*gradient_FN1_3, gradient_FN1_1+W_der_by_W+gradient_FN1_3=  0.023183  0.021131  0.006936  0.006771  0.006580 <psi_FNi(H-e)psi>, <psi_i(H-e)psiFN>  0.003551  0.003385
